County,State,2013,2014,2015,2016,2017,2018,2019
Graham County, North Carolina,"8,719","8,621","8,588","8,531","8,524","8,461","8,441"
Granville County, North Carolina,"57,762","57,995","58,162","58,684","59,372","59,979","60,443"
Greene County, North Carolina,"21,011","21,012","20,950","21,078","20,963","21,106","21,069"
Guilford County, North Carolina,"506,400","512,233","517,053","524,265","528,243","532,607","537,174"
Halifax County, North Carolina,"53,187","52,833","52,182","51,815","51,311","50,634","50,010"
Harnett County, North Carolina,"125,028","126,685","128,034","130,674","132,395","134,336","135,976"
Haywood County, North Carolina,"58,962","59,132","59,646","60,405","61,005","61,890","62,317"
Henderson County, North Carolina,"108,879","110,258","111,847","113,583","115,216","116,500","117,417"
Hertford County, North Carolina,"24,575","24,582","24,373","24,209","23,923","23,878","23,677"
Hoke County, North Carolina,"51,155","51,586","52,739","52,981","54,138","54,695","55,234"
Hyde County, North Carolina,"5,654","5,600","5,426","5,434","5,240","5,026","4,937"
Iredell County, North Carolina,"164,582","166,498","169,453","172,466","175,634","178,332","181,806"
Jackson County, North Carolina,"41,001","40,920","41,305","42,622","43,224","43,600","43,938"
Johnston County, North Carolina,"177,227","180,710","185,104","190,843","196,374","202,692","209,339"
Jones County, North Carolina,"10,007","9,851","9,777","9,588","9,573","9,613","9,419"
Lee County, North Carolina,"59,762","59,401","59,371","59,646","60,403","61,208","61,779"
Lenoir County, North Carolina,"58,732","58,255","57,981","57,240","56,622","55,990","55,949"
Lincoln County, North Carolina,"79,111","79,446","80,607","81,229","82,557","84,092","86,111"
McDowell County, North Carolina,"45,021","45,007","44,967","44,866","45,083","45,465","45,756"
Macon County, North Carolina,"33,738","33,824","34,090","34,262","34,581","35,274","35,858"
Madison County, North Carolina,"21,147","21,187","21,146","21,367","21,563","21,665","21,755"
Martin County, North Carolina,"23,637","23,435","23,262","23,122","22,763","22,660","22,440"
Mecklenburg County, North Carolina,"990,677","1,010,229","1,033,238","1,056,901","1,078,128","1,093,750","1,110,356"
Mitchell County, North Carolina,"15,282","15,174","15,071","14,996","14,992","14,996","14,964"
Montgomery County, North Carolina,"27,446","27,283","27,438","27,301","27,269","27,077","27,173"
Moore County, North Carolina,"91,366","92,816","94,013","95,405","97,368","98,805","100,880"
Nash County, North Carolina,"94,421","94,200","93,786","93,953","94,019","94,094","94,298"
New Hanover County, North Carolina,"212,921","215,963","219,422","224,809","228,728","232,256","234,473"
Northampton County, North Carolina,"20,856","20,652","20,533","20,127","19,890","19,698","19,483"
Onslow County, North Carolina,"192,354","191,822","193,114","192,314","195,066","196,915","197,938"
Orange County, North Carolina,"139,397","140,321","141,298","142,800","143,626","147,980","148,476"
Pamlico County, North Carolina,"12,880","12,872","12,741","12,765","12,638","12,633","12,726"
Pasquotank County, North Carolina,"39,548","39,436","39,384","39,392","39,386","39,583","39,824"
Pender County, North Carolina,"54,779","55,900","57,426","58,771","60,719","62,017","63,060"
Perquimans County, North Carolina,"13,634","13,538","13,463","13,402","13,439","13,381","13,463"
Person County, North Carolina,"39,239","39,114","39,190","39,270","39,338","39,436","39,490"
Pitt County, North Carolina,"174,380","174,974","176,071","177,171","178,607","179,575","180,742"
Polk County, North Carolina,"20,388","20,367","20,414","20,414","20,564","20,668","20,724"
Randolph County, North Carolina,"142,308","142,474","142,575","143,062","143,037","143,249","143,667"
Richmond County, North Carolina,"46,133","45,771","45,429","45,012","44,827","44,888","44,829"
Robeson County, North Carolina,"135,136","134,931","134,460","133,383","132,626","131,884","130,625"
Rockingham County, North Carolina,"91,896","91,790","91,657","91,308","90,791","90,617","91,010"
Rowan County, North Carolina,"137,690","138,080","138,497","139,410","140,356","141,128","142,088"
Rutherford County, North Carolina,"66,847","66,561","66,375","66,286","66,529","66,775","67,029"
Sampson County, North Carolina,"63,898","63,796","63,559","63,225","63,263","63,345","63,531"
Scotland County, North Carolina,"35,911","35,656","35,321","35,309","35,174","34,751","34,823"
Stanly County, North Carolina,"60,633","60,618","60,622","60,826","61,505","62,180","62,806"
Stokes County, North Carolina,"46,514","46,323","46,159","45,920","45,724","45,511","45,591"
Surry County, North Carolina,"72,643","72,487","71,998","72,008","72,107","71,959","71,783"
Swain County, North Carolina,"13,977","14,238","14,326","14,190","14,263","14,249","14,271"
Transylvania County, North Carolina,"32,827","32,952","33,157","33,393","33,767","34,173","34,385"
Tyrrell County, North Carolina,"4,104","4,120","4,139","4,024","4,180","4,115","4,016"
Union County, North Carolina,"212,200","217,689","221,949","226,279","231,350","235,830","239,859"
Vance County, North Carolina,"44,491","44,517","44,459","44,485","44,281","44,635","44,535"
Wake County, North Carolina,"974,198","997,788","1,022,319","1,048,335","1,071,706","1,091,273","1,111,761"
Warren County, North Carolina,"20,600","20,385","20,207","19,884","19,849","19,819","19,731"
Washington County, North Carolina,"12,669","12,476","12,247","12,070","11,944","11,769","11,580"
Watauga County, North Carolina,"52,295","52,395","53,093","54,140","55,181","56,034","56,177"
Wayne County, North Carolina,"124,587","124,586","124,342","124,269","123,034","123,237","123,131"
Wilkes County, North Carolina,"68,609","68,414","68,298","68,581","68,489","68,563","68,412"
Wilson County, North Carolina,"81,189","81,007","81,240","81,307","81,436","81,392","81,801"
Yadkin County, North Carolina,"38,063","37,846","37,619","37,653","37,588","37,481","37,667"
Yancey County, North Carolina,"17,549","17,542","17,550","17,610","17,697","17,873","18,069"
Adams County, North Dakota,"2,391","2,388","2,397","2,344","2,324","2,276","2,216"
Barnes County, North Dakota,"11,115","11,062","11,008","10,899","10,679","10,527","10,415"
Benson County, North Dakota,"6,899","6,885","6,820","6,840","6,916","6,958","6,832"
Billings County, North Dakota,912,920,948,948,922,918,928
 North Dakota,,"6,738","6,684","6,734","6,573","6,522","6,398","6,282"
Bowman County, North Dakota,"3,214","3,238","3,277","3,222","3,150","3,067","3,024"
Burke County, North Dakota,"2,305","2,261","2,344","2,227","2,128","2,094","2,115"
Burleigh County, North Dakota,"88,422","90,510","93,211","94,606","95,247","95,276","95,626"
Cass County, North Dakota,"162,837","166,552","170,722","174,189","177,745","180,294","181,923"
Cavalier County, North Dakota,"3,856","3,847","3,827","3,824","3,793","3,811","3,762"
Dickey County, North Dakota,"5,194","5,101","5,054","4,987","4,848","4,931","4,872"
Divide County, North Dakota,"2,327","2,428","2,459","2,391","2,295","2,264","2,264"
Dunn County, North Dakota,"4,140","4,375","4,578","4,372","4,274","4,328","4,424"
Eddy County, North Dakota,"2,367","2,329","2,305","2,288","2,315","2,309","2,287"
Emmons County, North Dakota,"3,476","3,412","3,397","3,338","3,298","3,278","3,241"
Foster County, North Dakota,"3,355","3,337","3,325","3,309","3,249","3,207","3,210"
Golden Valley County, North Dakota,"1,825","1,852","1,879","1,857","1,779","1,763","1,761"
Grand Forks County, North Dakota,"69,102","69,764","70,352","70,473","70,489","70,355","69,451"
Grant County, North Dakota,"2,393","2,374","2,396","2,379","2,363","2,354","2,274"
Griggs County, North Dakota,"2,284","2,291","2,288","2,258","2,244","2,228","2,231"
Hettinger County, North Dakota,"2,644","2,627","2,657","2,597","2,479","2,503","2,499"
Kidder County, North Dakota,"2,444","2,448","2,449","2,475","2,471","2,453","2,480"
LaMoure County, North Dakota,"4,101","4,096","4,136","4,113","4,101","4,075","4,046"
Logan County, North Dakota,"1,932","1,941","1,927","1,930","1,919","1,887","1,850"
McHenry County, North Dakota,"5,908","5,977","5,975","5,970","5,890","5,808","5,745"
McIntosh County, North Dakota,"2,738","2,745","2,717","2,599","2,608","2,566","2,497"
McKenzie County, North Dakota,"9,278","10,979","12,794","12,572","12,688","13,594","15,024"
McLean County, North Dakota,"9,464","9,553","9,664","9,643","9,636","9,529","9,450"
Mercer County, North Dakota,"8,589","8,712","8,786","8,616","8,457","8,266","8,187"
Morton County, North Dakota,"28,929","29,777","30,249","30,732","30,938","31,058","31,364"
Mountrail County, North Dakota,"9,340","9,751","10,311","10,234","10,276","10,239","10,545"
Nelson County, North Dakota,"3,052","3,014","2,914","2,889","2,902","2,885","2,879"
Oliver County, North Dakota,"1,889","1,868","1,865","1,895","1,930","1,945","1,959"
Pembina County, North Dakota,"7,098","7,068","7,031","7,046","6,962","6,895","6,801"
Pierce County, North Dakota,"4,419","4,364","4,273","4,216","4,096","4,070","3,975"
Ramsey County, North Dakota,"11,579","11,615","11,664","11,557","11,596","11,580","11,519"
Ransom County, North Dakota,"5,496","5,442","5,451","5,375","5,303","5,224","5,218"
Renville County, North Dakota,"2,613","2,573","2,551","2,517","2,455","2,358","2,327"
Richland County, North Dakota,"16,291","16,345","16,286","16,289","16,287","16,229","16,177"
Rolette County, North Dakota,"14,680","14,733","14,698","14,716","14,614","14,349","14,176"
Sargent County, North Dakota,"3,879","3,920","3,866","3,883","3,862","3,851","3,898"
Sheridan County, North Dakota,"1,327","1,334","1,311","1,342","1,351","1,342","1,315"
Sioux County, North Dakota,"4,434","4,459","4,377","4,457","4,425","4,377","4,230"
Slope County, North Dakota,771,779,781,781,767,761,750
Stark County, North Dakota,"28,317","30,315","31,861","30,869","30,291","30,893","31,489"
Steele County, North Dakota,"1,918","1,912","1,915","1,912","1,906","1,892","1,890"
Stutsman County, North Dakota,"21,082","21,120","21,047","21,068","21,132","20,875","20,704"
Towner County, North Dakota,"2,264","2,275","2,251","2,249","2,244","2,185","2,189"
Traill County, North Dakota,"8,188","8,042","7,987","8,001","7,998","8,020","8,036"
Walsh County, North Dakota,"11,081","10,907","10,852","10,816","10,801","10,645","10,641"
Ward County, North Dakota,"67,398","68,869","70,703","69,489","68,516","67,713","67,641"
Wells County, North Dakota,"4,150","4,125","4,095","4,049","3,994","3,908","3,834"
Williams County, North Dakota,"29,591","32,106","35,301","34,213","33,467","35,469","37,589"
Adams County, Ohio,"28,089","28,066","27,926","27,807","27,753","27,694","27,698"
Allen County, Ohio,"105,055","104,848","104,095","103,613","103,093","102,725","102,351"
Ashland County, Ohio,"53,153","53,161","53,310","53,520","53,662","53,706","53,484"
Ashtabula County, Ohio,"99,746","99,027","98,404","98,171","97,748","97,587","97,241"
Athens County, Ohio,"64,594","64,783","65,886","66,352","66,503","65,519","65,327"
Auglaize County, Ohio,"45,801","45,737","45,734","45,766","45,753","45,736","45,656"
Belmont County, Ohio,"69,563","69,367","68,973","68,606","68,002","67,533","67,006"
Brown County, Ohio,"44,111","43,933","43,697","43,638","43,523","43,570","43,432"
Butler County, Ohio,"371,395","373,750","375,998","378,354","380,607","382,000","383,134"
Carroll County, Ohio,"28,257","28,129","27,718","27,621","27,324","27,082","26,914"
Champaign County, Ohio,"39,461","39,078","38,963","38,741","38,851","38,785","38,885"
Clark County, Ohio,"136,638","136,311","135,746","134,723","134,549","134,528","134,083"
Clermont County, Ohio,"200,447","201,454","201,995","203,165","204,260","205,526","206,428"
Clinton County, Ohio,"41,864","41,805","41,839","41,887","42,004","42,085","41,968"
Columbiana County, Ohio,"105,959","105,621","104,714","103,817","103,062","102,473","101,883"
Coshocton County, Ohio,"36,723","36,531","36,577","36,617","36,536","36,596","36,600"
Crawford County, Ohio,"42,713","42,407","42,324","42,095","41,710","41,484","41,494"
Cuyahoga County, Ohio,"1,265,442","1,263,201","1,258,739","1,254,144","1,247,581","1,241,718","1,235,072"
Darke County, Ohio,"52,306","52,184","51,981","51,624","51,549","51,299","51,113"
Defiance County, Ohio,"38,564","38,525","38,326","38,140","38,156","38,089","38,087"
Delaware County, Ohio,"185,380","189,440","193,391","197,144","200,870","205,091","209,177"
Erie County, Ohio,"76,053","75,809","75,360","74,999","74,760","74,513","74,266"
Fairfield County, Ohio,"148,796","150,360","151,254","152,789","154,686","155,982","157,574"
Fayette County, Ohio,"28,686","28,650","28,611","28,670","28,639","28,653","28,525"
Franklin County, Ohio,"1,218,878","1,238,362","1,257,386","1,274,450","1,295,510","1,307,698","1,316,756"
Fulton County, Ohio,"42,199","42,403","42,301","42,306","42,265","42,267","42,126"
Gallia County, Ohio,"30,685","30,463","30,249","30,186","30,162","29,945","29,898"
Geauga County, Ohio,"93,846","93,979","93,894","93,845","93,881","93,945","93,649"
Greene County, Ohio,"163,907","164,673","164,272","165,290","166,566","167,446","168,937"
Guernsey County, Ohio,"39,706","39,690","39,392","39,211","39,066","39,011","38,875"
Hamilton County, Ohio,"805,182","807,617","809,527","811,332","814,170","815,445","817,473"
Hancock County, Ohio,"75,581","75,281","75,678","75,831","75,973","75,920","75,783"
Hardin County, Ohio,"31,747","31,784","31,616","31,398","31,329","31,418","31,365"
Harrison County, Ohio,"15,602","15,519","15,395","15,252","15,202","15,167","15,040"
Henry County, Ohio,"27,824","27,597","27,481","27,282","27,179","27,091","27,006"
Highland County, Ohio,"43,195","43,093","42,960","43,006","42,903","43,052","43,161"
Hocking County, Ohio,"28,653","28,743","28,500","28,393","28,436","28,357","28,264"
Holmes County, Ohio,"43,604","43,788","43,882","43,847","43,895","43,919","43,960"
Huron County, Ohio,"58,825","58,610","58,307","58,367","58,393","58,364","58,266"
Jackson County, Ohio,"32,801","32,761","32,559","32,528","32,386","32,366","32,413"
Jefferson County, Ohio,"68,168","67,876","67,495","66,944","66,318","65,774","65,325"
Knox County, Ohio,"60,858","61,000","61,001","60,909","61,271","61,900","62,322"
Lake County, Ohio,"230,075","229,857","229,836","229,525","230,159","230,102","230,149"
Lawrence County, Ohio,"61,858","61,539","60,923","60,691","60,075","59,767","59,463"
Licking County, Ohio,"168,461","169,410","170,611","171,993","173,617","175,666","176,862"
Logan County, Ohio,"45,393","45,473","45,250","45,128","45,198","45,332","45,672"
Lorain County, Ohio,"303,098","304,464","305,417","306,607","307,441","309,052","309,833"
Lucas County, Ohio,"436,156","434,585","433,633","432,879","431,039","429,612","428,348"
Madison County, Ohio,"43,256","43,980","44,139","43,377","44,041","44,389","44,731"
