County,State,2013,2014,2015,2016,2017,2018,2019
Pueblo County, Colorado,"161,033","161,356","163,006","164,774","166,283","167,422","168,424"
Rio Blanco County, Colorado,"6,693","6,595","6,478","6,436","6,352","6,330","6,324"
Rio Grande County, Colorado,"11,676","11,504","11,352","11,337","11,297","11,271","11,267"
Routt County, Colorado,"23,599","24,067","24,360","24,682","25,171","25,507","25,638"
Saguache County, Colorado,"6,242","6,198","6,253","6,412","6,633","6,840","6,824"
San Juan County, Colorado,692,712,689,691,712,764,728
San Miguel County, Colorado,"7,621","7,738","7,836","8,017","8,034","8,180","8,179"
Sedgwick County, Colorado,"2,340","2,334","2,373","2,400","2,311","2,276","2,248"
Summit County, Colorado,"28,728","29,317","30,045","30,552","30,820","30,817","31,011"
Teller County, Colorado,"23,356","23,433","23,388","24,058","24,674","25,113","25,388"
Washington County, Colorado,"4,743","4,733","4,786","4,834","4,921","4,888","4,908"
Weld County, Colorado,"270,165","277,112","285,819","295,712","305,885","314,815","324,492"
Yuma County, Colorado,"10,132","10,184","10,037","10,055","9,959","9,947","10,019"
Fairfield County, Connecticut,"939,924","944,196","944,943","944,347","943,038","943,971","943,332"
Hartford County, Connecticut,"897,678","897,407","896,290","894,141","893,076","892,580","891,720"
Litchfield County, Connecticut,"186,836","185,343","184,122","182,793","181,667","181,095","180,333"
Middlesex County, Connecticut,"165,329","164,786","163,724","163,292","162,942","162,870","162,436"
New Haven County, Connecticut,"862,820","862,885","860,186","857,901","857,748","856,971","854,757"
New London County, Connecticut,"272,976","271,462","269,636","268,403","267,419","266,285","265,206"
Tolland County, Connecticut,"151,778","151,693","151,734","151,162","151,009","150,689","150,721"
Windham County, Connecticut,"117,500","116,752","116,487","116,102","116,398","117,059","116,782"
Kent County, Delaware,"169,038","171,456","173,128","174,542","176,499","178,540","180,786"
New Castle County, Delaware,"548,331","550,768","553,488","555,058","555,976","557,550","558,753"
Sussex County, Delaware,"206,207","210,263","214,636","219,321","224,348","229,389","234,225"
District of Columbia, District of Columbia,"650,581","662,328","675,400","685,815","694,906","701,547","705,749"
Alachua County, Florida,"252,475","255,456","259,052","263,959","266,309","268,851","269,043"
Baker County, Florida,"27,009","27,122","27,355","27,884","28,254","28,353","29,210"
Bay County, Florida,"174,596","178,289","181,488","183,634","184,736","186,240","174,705"
Bradford County, Florida,"26,802","26,552","26,748","26,740","27,142","27,752","28,201"
Brevard County, Florida,"550,255","555,548","565,746","576,874","587,769","595,203","601,942"
Broward County, Florida,"1,836,600","1,860,933","1,885,040","1,912,583","1,934,516","1,946,107","1,952,778"
Calhoun County, Florida,"14,578","14,450","14,406","14,330","14,428","14,543","14,105"
Charlotte County, Florida,"164,671","168,041","172,382","177,671","181,522","184,849","188,910"
Citrus County, Florida,"138,829","138,828","140,287","142,804","145,415","147,682","149,657"
Clay County, Florida,"195,657","198,570","202,392","207,246","212,228","215,908","219,252"
Collier County, Florida,"338,987","347,211","356,041","365,445","372,678","378,201","384,902"
Columbia County, Florida,"67,417","67,779","68,222","69,265","69,999","70,668","71,686"
DeSoto County, Florida,"34,905","35,338","35,648","36,255","37,241","37,368","38,001"
